** CONVERTED FROM C:\Users\Jasper\Documents\UU\Experiments\SWM\SWM_pupil\Data\edf\BB_O04.edf using edfapi 3.1 Win32 Jul  4 2014 on Tue Feb 16 16:49:23 2016
** DATE: Tue Feb  2 14:36:23 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.10 Sep  9 2007
** CAMERA: EyeLink CL Version 1.4 Sensor=CHD
** SERIAL NUMBER: CL1-77T31
** CAMERA_CONFIG: 77T31140.SCD
**

MSG	241063 DRIFTCORRECT L LEFT  at 640,400  OFFSET 0.85 deg.  -26.5,1.5 pix.
MSG	241229 RECCFG CR 1000 2 1 L
MSG	241229 ELCLCFG MTABLE
MSG	241229 GAZE_COORDS 0.00 0.00 1279.00 799.00
MSG	241229 THRESHOLDS L 55 228
MSG	241229 ELCL_PROC CENTROID (3)
MSG	241229 ELCL_PCR_PARAM 5 3.0
START	241230 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	241230 !MODE RECORD CR 1000 2 1 L
241230	  612.0	  400.2	 1062.0	...
241231	  612.2	  400.5	 1064.0	...
241232	  612.3	  400.3	 1065.0	...
241233	  612.3	  400.0	 1065.0	...
241234	  612.3	  399.7	 1064.0	...
241235	  612.3	  399.6	 1063.0	...
241236	  612.0	  399.5	 1063.0	...
SFIX L   241237
241237	  611.7	  399.3	 1063.0	...
241238	  611.4	  399.1	 1063.0	...
241239	  611.4	  399.4	 1062.0	...
241240	  611.5	  399.8	 1062.0	...
241241	  611.5	  400.3	 1063.0	...
241242	  611.6	  400.5	 1064.0	...
241243	  611.5	  400.7	 1064.0	...
241244	  611.4	  400.8	 1064.0	...
241245	  611.5	  400.8	 1064.0	...
241246	  611.7	  400.6	 1063.0	...
241247	  612.0	  400.1	 1063.0	...
241248	  612.3	  399.6	 1062.0	...
241249	  612.6	  399.3	 1062.0	...
241250	  612.5	  399.1	 1062.0	...
241251	  612.2	  399.1	 1062.0	...
241252	  611.9	  399.3	 1062.0	...
241253	  611.9	  399.4	 1062.0	...
241254	  611.8	  399.0	 1062.0	...
241255	  612.6	  398.8	 1061.0	...
241256	  613.7	  398.5	 1061.0	...
241257	  615.1	  398.6	 1062.0	...
241258	  615.9	  398.6	 1064.0	...
241259	  617.4	  398.6	 1064.0	...
241260	  619.0	  398.6	 1064.0	...
241261	  620.9	  398.6	 1063.0	...
241262	  622.2	  398.5	 1064.0	...
241263	  623.1	  398.3	 1065.0	...
241264	  623.6	  398.1	 1065.0	...
241265	  623.7	  398.5	 1065.0	...
241266	  623.8	  399.0	 1064.0	...
241267	  624.1	  398.8	 1064.0	...
241268	  624.5	  398.1	 1064.0	...
241269	  624.1	  397.1	 1063.0	...
241270	  623.3	  396.9	 1063.0	...
241271	  622.2	  396.7	 1064.0	...
