** CONVERTED FROM C:\Users\Jasper\Documents\UU\Experiments\SWM\SWM_pupil\Data\edf\CC_L04.edf using edfapi 3.1 Win32 Jul  4 2014 on Tue Feb 16 16:49:48 2016
** DATE: Wed Feb  3 14:30:12 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.10 Sep  9 2007
** CAMERA: EyeLink CL Version 1.4 Sensor=CHD
** SERIAL NUMBER: CL1-77T31
** CAMERA_CONFIG: 77T31140.SCD
**

MSG	4084546 DRIFTCORRECT L LEFT  at 640,400  OFFSET 1.66 deg.  50.5,-9.0 pix.
MSG	4084655 RECCFG CR 1000 2 1 L
MSG	4084655 ELCLCFG MTABLE
MSG	4084655 GAZE_COORDS 0.00 0.00 1279.00 799.00
MSG	4084655 THRESHOLDS L 74 228
MSG	4084655 ELCL_PROC CENTROID (3)
MSG	4084655 ELCL_PCR_PARAM 5 3.0
START	4084656 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	4084656 !MODE RECORD CR 1000 2 1 L
4084656	  690.0	  390.4	 1886.0	...
4084657	  689.8	  390.0	 1886.0	...
4084658	  689.7	  389.4	 1888.0	...
4084659	  689.9	  389.3	 1890.0	...
4084660	  690.1	  389.4	 1891.0	...
4084661	  690.2	  389.7	 1890.0	...
4084662	  690.1	  389.8	 1889.0	...
SFIX L   4084663
4084663	  690.2	  389.6	 1889.0	...
4084664	  690.5	  389.5	 1889.0	...
4084665	  690.7	  389.6	 1890.0	...
4084666	  690.7	  389.7	 1889.0	...
4084667	  690.8	  389.7	 1890.0	...
4084668	  690.9	  389.7	 1890.0	...
4084669	  690.9	  389.7	 1889.0	...
4084670	  690.9	  389.7	 1886.0	...
4084671	  691.0	  389.3	 1884.0	...
4084672	  691.0	  388.9	 1882.0	...
4084673	  691.0	  389.0	 1882.0	...
4084674	  691.0	  389.3	 1881.0	...
4084675	  691.2	  389.8	 1881.0	...
4084676	  691.4	  389.9	 1880.0	...
4084677	  691.3	  390.0	 1879.0	...
4084678	  691.0	  390.0	 1879.0	...
4084679	  690.7	  389.9	 1879.0	...
4084680	  690.7	  389.9	 1879.0	...
4084681	  690.6	  389.8	 1879.0	...
4084682	  690.5	  389.8	 1880.0	...
4084683	  690.4	  389.8	 1880.0	...
4084684	  690.5	  389.8	 1880.0	...
4084685	  690.7	  389.7	 1883.0	...
4084686	  690.8	  389.9	 1886.0	...
4084687	  690.9	  390.0	 1888.0	...
4084688	  690.9	  390.1	 1886.0	...
4084689	  690.9	  390.0	 1885.0	...
4084690	  690.9	  390.2	 1884.0	...
4084691	  690.9	  390.5	 1884.0	...
4084692	  691.0	  390.8	 1885.0	...
4084693	  691.1	  390.8	 1884.0	...
4084694	  691.2	  390.7	 1882.0	...
4084695	  691.5	  390.6	 1880.0	...
