** CONVERTED FROM C:\Users\Jasper\Documents\UU\Experiments\SWM\SWM_pupil\Data\edf\DD_L01.edf using edfapi 3.1 Win32 Jul  4 2014 on Tue Feb 16 16:50:21 2016
** DATE: Thu Feb  4 13:43:39 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.10 Sep  9 2007
** CAMERA: EyeLink CL Version 1.4 Sensor=CHD
** SERIAL NUMBER: CL1-77T31
** CAMERA_CONFIG: 77T31140.SCD
**

MSG	18820316 DRIFTCORRECT L LEFT  at 640,400  OFFSET 0.42 deg.  3.6,-10.6 pix.
MSG	18820430 RECCFG CR 1000 2 1 L
MSG	18820430 ELCLCFG MTABLE
MSG	18820430 GAZE_COORDS 0.00 0.00 1279.00 799.00
MSG	18820430 THRESHOLDS L 69 215
MSG	18820430 ELCL_PROC CENTROID (3)
MSG	18820430 ELCL_PCR_PARAM 5 3.0
START	18820431 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	18820431 !MODE RECORD CR 1000 2 1 L
18820431	  642.5	  388.1	 1270.0	...
18820432	  642.4	  388.0	 1271.0	...
18820433	  642.2	  387.8	 1271.0	...
18820434	  642.2	  387.6	 1271.0	...
18820435	  642.3	  387.5	 1270.0	...
18820436	  642.6	  387.4	 1269.0	...
18820437	  642.8	  387.5	 1270.0	...
SFIX L   18820438
18820438	  643.1	  387.6	 1271.0	...
18820439	  643.1	  387.7	 1271.0	...
18820440	  643.1	  387.8	 1270.0	...
18820441	  643.0	  387.9	 1270.0	...
18820442	  642.9	  388.0	 1270.0	...
18820443	  642.8	  388.2	 1271.0	...
18820444	  642.7	  388.2	 1270.0	...
18820445	  642.8	  388.3	 1270.0	...
18820446	  643.0	  388.5	 1271.0	...
18820447	  643.2	  388.3	 1271.0	...
18820448	  643.3	  388.2	 1271.0	...
18820449	  643.4	  388.1	 1271.0	...
18820450	  643.4	  388.5	 1271.0	...
18820451	  643.4	  388.9	 1271.0	...
18820452	  643.4	  389.1	 1272.0	...
18820453	  643.3	  389.0	 1272.0	...
18820454	  643.0	  388.8	 1272.0	...
18820455	  642.8	  388.8	 1272.0	...
18820456	  642.9	  388.8	 1272.0	...
18820457	  643.0	  388.6	 1272.0	...
18820458	  643.0	  388.3	 1273.0	...
18820459	  642.9	  388.0	 1274.0	...
18820460	  642.8	  387.9	 1274.0	...
18820461	  642.7	  388.1	 1274.0	...
18820462	  642.6	  388.3	 1273.0	...
18820463	  642.7	  388.3	 1274.0	...
18820464	  642.9	  388.2	 1274.0	...
18820465	  643.0	  388.1	 1276.0	...
18820466	  642.9	  388.1	 1279.0	...
18820467	  642.6	  387.9	 1283.0	...
18820468	  642.4	  387.7	 1285.0	...
18820469	  642.3	  387.3	 1286.0	...
18820470	  642.4	  387.2	 1285.0	...
