** CONVERTED FROM C:\Users\Jasper\Documents\UU\Experiments\SWM\SWM_pupil\Data\edf\DD_L05.edf using edfapi 3.1 Win32 Jul  4 2014 on Tue Feb 16 16:50:37 2016
** DATE: Thu Feb  4 13:59:56 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.10 Sep  9 2007
** CAMERA: EyeLink CL Version 1.4 Sensor=CHD
** SERIAL NUMBER: CL1-77T31
** CAMERA_CONFIG: 77T31140.SCD
**

MSG	19775069 DRIFTCORRECT L LEFT  at 640,400  OFFSET 0.53 deg.  16.4,0.2 pix.
MSG	19775236 RECCFG CR 1000 2 1 L
MSG	19775236 ELCLCFG MTABLE
MSG	19775236 GAZE_COORDS 0.00 0.00 1279.00 799.00
MSG	19775236 THRESHOLDS L 69 215
MSG	19775236 ELCL_PROC CENTROID (3)
MSG	19775236 ELCL_PCR_PARAM 5 3.0
START	19775237 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	19775237 !MODE RECORD CR 1000 2 1 L
19775237	  650.9	  399.4	 1177.0	...
19775238	  650.8	  399.2	 1177.0	...
19775239	  650.9	  399.0	 1177.0	...
19775240	  651.1	  398.8	 1175.0	...
19775241	  651.3	  398.9	 1174.0	...
19775242	  651.4	  399.1	 1174.0	...
19775243	  651.3	  399.2	 1175.0	...
SFIX L   19775244
19775244	  651.3	  399.2	 1176.0	...
19775245	  651.3	  399.3	 1176.0	...
19775246	  651.3	  399.4	 1176.0	...
19775247	  651.2	  399.6	 1176.0	...
19775248	  650.9	  399.5	 1176.0	...
19775249	  650.5	  399.2	 1177.0	...
19775250	  650.3	  399.0	 1176.0	...
19775251	  650.4	  399.3	 1175.0	...
19775252	  650.5	  399.6	 1175.0	...
19775253	  650.6	  399.7	 1175.0	...
19775254	  650.9	  399.4	 1175.0	...
19775255	  651.3	  399.1	 1175.0	...
19775256	  651.5	  399.1	 1175.0	...
19775257	  651.4	  398.9	 1175.0	...
19775258	  651.0	  398.8	 1174.0	...
19775259	  650.7	  399.0	 1174.0	...
19775260	  650.6	  399.3	 1174.0	...
19775261	  650.7	  399.6	 1175.0	...
19775262	  650.9	  399.6	 1175.0	...
19775263	  650.9	  399.6	 1176.0	...
19775264	  651.0	  399.5	 1177.0	...
19775265	  651.1	  399.5	 1177.0	...
19775266	  651.0	  399.5	 1177.0	...
19775267	  650.9	  399.4	 1176.0	...
19775268	  650.7	  399.2	 1175.0	...
19775269	  650.7	  399.1	 1175.0	...
19775270	  650.8	  399.1	 1174.0	...
19775271	  650.9	  399.1	 1174.0	...
19775272	  651.0	  399.1	 1174.0	...
19775273	  651.1	  399.0	 1174.0	...
19775274	  651.1	  398.9	 1174.0	...
19775275	  651.0	  398.9	 1174.0	...
19775276	  650.9	  398.9	 1173.0	...
