** CONVERTED FROM C:\Users\Jasper\Documents\UU\Experiments\SWM\SWM_pupil\Data\edf\LL_O06.edf using edfapi 3.1 Win32 Jul  4 2014 on Tue Feb 16 16:58:02 2016
** DATE: Mon Feb 15 15:35:30 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.10 Sep  9 2007
** CAMERA: EyeLink CL Version 1.4 Sensor=CHD
** SERIAL NUMBER: CL1-77T31
** CAMERA_CONFIG: 77T31140.SCD
**

MSG	10986460 DRIFTCORRECT L LEFT  at 640,400  OFFSET 0.62 deg.  -3.5,-16.3 pix.
MSG	10986568 RECCFG CR 1000 2 1 L
MSG	10986568 ELCLCFG MTABLE
MSG	10986568 GAZE_COORDS 0.00 0.00 1279.00 799.00
MSG	10986568 THRESHOLDS L 73 235
MSG	10986568 ELCL_PROC CENTROID (3)
MSG	10986568 ELCL_PCR_PARAM 5 3.0
START	10986569 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	10986569 !MODE RECORD CR 1000 2 1 L
10986569	  638.1	  386.8	 1133.0	...
10986570	  638.2	  386.9	 1132.0	...
10986571	  638.3	  386.9	 1132.0	...
10986572	  638.3	  387.0	 1132.0	...
10986573	  638.1	  387.0	 1132.0	...
10986574	  637.8	  386.8	 1131.0	...
10986575	  637.6	  386.8	 1131.0	...
SFIX L   10986576
10986576	  637.7	  386.8	 1132.0	...
10986577	  638.0	  387.0	 1132.0	...
10986578	  638.3	  387.0	 1133.0	...
10986579	  638.5	  387.0	 1133.0	...
10986580	  638.5	  386.6	 1133.0	...
10986581	  638.5	  386.3	 1133.0	...
10986582	  638.6	  385.8	 1133.0	...
10986583	  638.8	  385.7	 1133.0	...
10986584	  638.4	  385.7	 1133.0	...
10986585	  638.1	  385.8	 1133.0	...
10986586	  637.7	  385.7	 1134.0	...
10986587	  637.8	  385.6	 1135.0	...
10986588	  638.3	  385.5	 1136.0	...
10986589	  638.8	  385.7	 1136.0	...
10986590	  638.8	  386.2	 1137.0	...
10986591	  638.4	  386.7	 1137.0	...
10986592	  638.0	  386.8	 1137.0	...
10986593	  638.2	  386.6	 1137.0	...
10986594	  638.2	  386.5	 1138.0	...
10986595	  638.2	  386.4	 1138.0	...
10986596	  638.2	  386.3	 1139.0	...
10986597	  638.4	  386.5	 1139.0	...
10986598	  638.5	  386.6	 1139.0	...
10986599	  638.7	  386.5	 1139.0	...
10986600	  638.9	  386.4	 1139.0	...
10986601	  639.1	  386.2	 1139.0	...
10986602	  639.1	  386.1	 1138.0	...
10986603	  639.1	  386.1	 1138.0	...
10986604	  639.1	  386.2	 1138.0	...
10986605	  639.1	  386.2	 1138.0	...
10986606	  639.0	  386.3	 1139.0	...
10986607	  638.7	  386.3	 1140.0	...
10986608	  638.2	  386.4	 1142.0	...
